,ZIP_CODE,ZCTA,Population
13367,32745,32746,40571
13368,32746,32746,40571
13369,32795,32746,40571
13370,32799,32746,40571
13371,32747,32771,49481
13372,32771,32771,49481
13373,32772,32771,49481
13374,32750,32750,22713
13375,32751,32751,19928
13376,32794,32751,19928
13377,32752,32779,27556
13378,32779,32779,27556
13379,32791,32779,27556
13380,32754,32754,11313
13381,32775,32754,11313
13382,32756,32757,23746
13383,32757,32757,23746
13384,32777,32757,23746
13385,32759,32759,2871
13386,32762,32765,56349
13387,32765,32765,56349
13388,32763,32763,21263
13389,32774,32763,21263
13390,32764,32764,3120
13391,32766,32766,15698
13392,32767,32767,2622
13393,32773,32773,28787
13394,32776,32776,10262
13395,32778,32778,18617
13396,32780,32780,34628
13397,32781,32780,34628
13398,32783,32780,34628
13399,32815,32780,34628
13400,32899,32780,34628
13401,32784,32784,11432
13402,32789,32789,24557
13403,32790,32789,24557
13404,32796,32796,20139
13405,32798,32798,2550
13406,32801,32801,12050
13407,32802,32801,12050
13408,32886,32801,12050
13409,32896,32801,12050
13410,32897,32801,12050
13411,32803,32803,19020
13412,32853,32803,19020
13413,32891,32803,19020
13414,32804,32804,17312
13415,32854,32804,17312
13416,32805,32805,21810
13417,32855,32805,21810
13418,32806,32806,24820
13419,32856,32806,24820
13420,32807,32807,31465
13421,32857,32807,31465
13422,32808,32808,46334
13423,32858,32808,46334
13424,32809,32809,26773
13425,32859,32809,26773
13426,32869,32809,26773
13427,32810,32810,32210
13428,32860,32810,32210
13429,32811,32811,35825
13430,32861,32811,35825
13431,32812,32812,32844
13432,32814,32814,6151
13433,32816,32826,29347
13434,32826,32826,29347
13435,32817,32817,35105
13436,32867,32817,35105
13437,32819,32819,24976
13438,32820,32820,7974
13439,32821,32821,21423
13440,32887,32821,21423
13441,32822,32822,53029
13442,32872,32822,53029
13443,32824,32824,37401
13444,32885,32824,37401
13445,32825,32825,53024
13446,32834,32825,53024
13447,32878,32825,53024
13448,32827,32827,6362
13449,32862,32827,6362
13450,32828,32828,57881
13451,32829,32829,17822
13452,32830,32830,26
13453,32831,32831,2542
13454,32832,32832,13787
13455,32833,32833,9241
13456,32835,32835,39633
13457,32836,32836,16647
13458,32837,32837,51219
13459,32877,32837,51219
13460,32839,32839,50279
13461,32901,32901,24521
13462,32902,32901,24521
13463,32919,32901,24521
13464,32941,32901,24521
13465,32903,32903,12869
13466,32904,32904,26710
13467,32912,32904,26710
13468,32905,32905,22084
13469,32906,32905,22084
13470,32911,32905,22084
13471,32907,32907,41870
13472,32910,32907,41870
13473,32908,32908,10892
13474,32909,32909,30120
13475,32920,32920,9848
13476,32922,32922,14916
13477,32923,32922,14916
13478,32924,32922,14916
13479,32925,32925,1222
13480,32926,32926,22752
13481,32927,32927,28092
13482,32959,32927,28092
13483,32931,32931,13567
13484,32932,32931,13567
13485,32934,32934,17338
13486,32935,32935,39082
13487,32936,32935,39082
13488,32937,32937,24969
13489,32940,32940,31999
13490,32948,32948,6773
13491,32949,32949,2248
13492,32950,32950,3982
13493,32951,32951,10673
13494,32952,32952,19881
13495,32953,32953,22754
13496,32954,32953,22754
13497,32955,32955,36374
13498,32956,32955,36374
13499,32957,32958,25366
13500,32958,32958,25366
13501,32978,32958,25366
13502,32960,32960,20037
13503,32961,32960,20037
13504,32964,32960,20037
13505,32962,32962,22716
13506,32965,32962,22716
13507,32963,32963,14911
13508,32966,32966,15626
13509,32969,32966,15626
13510,32967,32967,19518
13511,32971,32967,19518
13512,32968,32968,12830
13513,32970,32970,303
13514,32976,32976,9079
13515,33001,33001,315
13516,33002,33014,40654
13517,33014,33014,40654
13518,33004,33004,15588
13519,33008,33009,39341
13520,33009,33009,39341
13521,33010,33010,46187
13522,33011,33010,46187
13523,33012,33012,72248
13524,33013,33013,33852
13525,33015,33015,63544
13526,33017,33015,63544
13527,33016,33016,45342
13528,33018,33018,46117
13529,33019,33019,15107
13530,33020,33020,41329
13531,33022,33020,41329
13532,33021,33021,45921
13533,33081,33021,45921
13534,33023,33023,63576
13535,33083,33023,63576
13536,33024,33024,63916
13537,33084,33024,63916
13538,33025,33025,59039
13539,33026,33026,28498
13540,33027,33027,57663
13541,33028,33028,26696
13542,33082,33028,26696
13543,33029,33029,45235
13544,33030,33030,34110
13545,33090,33030,34110
13546,33031,33031,5859
13547,33032,33032,34088
13548,33092,33032,34088
13549,33033,33033,49028
13550,33034,33034,18613
13551,33035,33035,13497
13552,33036,33036,3035
13553,33037,33037,11612
13554,33039,33039,122
13555,33040,33040,32891
13556,33041,33040,32891
13557,33045,33040,32891
13558,33042,33042,5829
13559,33043,33043,4313
13560,33050,33050,8922
13561,33052,33050,8922
13562,33051,33051,796
13563,33054,33054,29061
13564,33055,33055,43194
13565,33056,33056,35059
13566,33060,33060,32154
13567,33061,33062,23948
13568,33062,33062,23948
13569,33063,33063,51019
13570,33093,33063,51019
13571,33064,33064,52969
13572,33074,33064,52969
13573,33065,33065,51921
13574,33066,33066,15760
13575,33067,33067,26458
13576,33068,33068,49824
13577,33069,33069,25700
13578,33072,33069,25700
13579,33070,33070,5344
13580,33071,33071,36964
13581,33077,33071,36964
13582,33073,33073,29168
13583,33097,33073,29168
13584,33075,33076,29751
13585,33076,33076,29751
13586,33101,33101,0
13587,33102,33122,1
13588,33106,33122,1
13589,33112,33122,1
13590,33122,33122,1
13591,33152,33122,1
13592,33191,33122,1
13593,33222,33122,1
13594,33247,33122,1
13595,33299,33122,1
13596,33109,33109,594
13597,33111,33132,11165
13598,33132,33132,11165
13599,33114,33134,37456
13600,33134,33134,37456
13601,33234,33134,37456
13602,33116,33176,50170
13603,33176,33176,50170
13604,33119,33139,38613
13605,33139,33139,38613
13606,33239,33139,38613
13607,33124,33181,18413
13608,33181,33181,18413
13609,33125,33125,52677
13610,33126,33126,46867
13611,33206,33126,46867
13612,33127,33127,28909
13613,33151,33127,28909
13614,33128,33128,7562
13615,33129,33129,13833
13616,33130,33130,26108
13617,33131,33131,14917
13618,33231,33131,14917
13619,33133,33133,31926
13620,33233,33133,31926
13621,33135,33135,36066
13622,33136,33136,13791
13623,33137,33137,19410
13624,33138,33138,27571
13625,33153,33138,27571
13626,33140,33140,21210
13627,33141,33141,35249
13628,33142,33142,52606
13629,33242,33142,52606
13630,33143,33143,31407
13631,33243,33143,31407
13632,33144,33144,26903
13633,33145,33145,29758
13634,33245,33145,29758
13635,33146,33146,14995
13636,33147,33147,46933
13637,33149,33149,12389
13638,33150,33150,27811
13639,33238,33150,27811
13640,33154,33154,13971
13641,33155,33155,43788
13642,33255,33155,43788
13643,33156,33156,31315
13644,33256,33156,31315
13645,33296,33156,31315
13646,33157,33157,63226
13647,33197,33157,63226
13648,33257,33157,63226
13649,33158,33158,6694
13650,33160,33160,40053
13651,33161,33161,53710
13652,33261,33161,53710
13653,33162,33162,43539
13654,33164,33162,43539
13655,33280,33162,43539
13656,33163,33180,30840
13657,33180,33180,30840
13658,33165,33165,56149
13659,33265,33165,56149
13660,33166,33166,23038
13661,33195,33166,23038
13662,33266,33166,23038
13663,33167,33167,18846
13664,33168,33168,25792
13665,33169,33169,39353
13666,33269,33169,39353
13667,33170,33170,12253
13668,33172,33172,37664
13669,33192,33172,37664
13670,33173,33173,33141
13671,33174,33174,32524
13672,33188,33174,32524
13673,33199,33174,32524
13674,33175,33175,53206
13675,33177,33177,53191
13676,33178,33178,39489
13677,33198,33178,39489
13678,33179,33179,41332
13679,33182,33182,16929
13680,33183,33183,35949
13681,33283,33183,35949
13682,33184,33184,21075
13683,33185,33185,27189
13684,33186,33186,67137
13685,33187,33187,16315
13686,33189,33189,23828
13687,33190,33190,11593
13688,33193,33193,46044
13689,33194,33194,7742
13690,33196,33196,43620
13691,33301,33301,14586
13692,33303,33301,14586
13693,33394,33301,14586
13694,33302,33304,17724
13695,33304,33304,17724
13696,33349,33304,17724
13697,33305,33305,11927
13698,33306,33306,3397
13699,33339,33306,3397
13700,33307,33334,28749
13701,33334,33334,28749
13702,33335,33334,28749
13703,33308,33308,28217
13704,33348,33308,28217
13705,33309,33309,33705
13706,33310,33311,63786
13707,33311,33311,63786
13708,33336,33311,63786
13709,33340,33311,63786
13710,33312,33312,49343
13711,33313,33313,56039
13712,33359,33313,56039
13713,33314,33314,21885
13714,33315,33315,12153
13715,33316,33316,10044
13716,33346,33316,10044
13717,33317,33317,35372
13718,33318,33322,37858
13719,33322,33322,37858
13720,33319,33319,44420
13721,33320,33321,44327
13722,33321,33321,44327
13723,33323,33323,18929
13724,33324,33324,42847
13725,33329,33324,42847
13726,33337,33324,42847
13727,33338,33324,42847
13728,33388,33324,42847
13729,33325,33325,27570
13730,33355,33325,27570
13731,33326,33326,31257
13732,33327,33327,22658
13733,33328,33328,27415
13734,33330,33330,14107
13735,33331,33331,23204
13736,33332,33332,11199
13737,33345,33351,32890
13738,33351,33351,32890
13739,33401,33401,24879
13740,33402,33480,9549
13741,33480,33480,9549
13742,33403,33403,12042
13743,33404,33404,27489
13744,33419,33404,27489
13745,33405,33405,19155
13746,33406,33406,26312
13747,33416,33406,26312
13748,33407,33407,29659
13749,33408,33408,16921
13750,33409,33409,29140
13751,33410,33410,32570
13752,33420,33410,32570
13753,33411,33411,65245
13754,33421,33411,65245
13755,33412,33412,14414
13756,33413,33413,15162
13757,33414,33414,53718
13758,33415,33415,44963
13759,33417,33417,29156
13760,33422,33417,29156
13761,33418,33418,36017
13762,33424,33436,41896
13763,33425,33436,41896
13764,33436,33436,41896
13765,33474,33436,41896
13766,33426,33426,20082
13767,33427,33486,21720
13768,33486,33486,21720
13769,33428,33428,38548
13770,33497,33428,38548
13771,33429,33432,18715
13772,33432,33432,18715
13773,33430,33430,21427
13774,33431,33431,18290
13775,33481,33431,18290
13776,33433,33433,41722
13777,33488,33433,41722
13778,33434,33434,19260
13779,33435,33435,32104
13780,33437,33437,35938
13781,33438,33438,459
13782,33440,33440,19743
13783,33459,33440,19743
13784,33441,33441,26838
13785,33443,33441,26838
13786,33442,33442,28075
13787,33444,33444,20221
13788,33445,33445,29754
13789,33482,33445,29754
13790,33446,33446,22088
13791,33448,33446,22088
13792,33449,33449,10817
13793,33454,33467,48808
13794,33467,33467,48808
13795,33455,33455,19980
13796,33475,33455,19980
13797,33458,33458,49396
13798,33468,33458,49396
13799,33460,33460,30790
13800,33464,33460,30790
13801,33461,33461,40748
13802,33466,33461,40748
13803,33462,33462,30879
13804,33465,33462,30879
13805,33463,33463,53766
13806,33469,33469,14449
13807,33470,33470,26551
13808,33471,33471,6818
13809,33472,33472,19100
13810,33473,33473,6265
13811,33476,33476,7669
13812,33477,33477,13074
13813,33478,33478,12704
13814,33483,33483,12093
13815,33484,33484,23443
13816,33487,33487,16421
13817,33499,33487,16421
13818,33493,33493,4926
13819,33496,33496,20969
13820,33498,33498,14557
13821,33503,33503,108
13822,33508,33511,52003
13823,33509,33511,52003
13824,33511,33511,52003
13825,33510,33510,27610
13826,33513,33513,12086
13827,33514,33514,1811
13828,33521,33521,599
13829,33523,33523,18313
13830,33537,33523,18313
13831,33593,33523,18313
13832,33524,33540,8752
13833,33540,33540,8752
